Data,Precipt Total,N Medicoes,Precipt Media
09/05/2000,1.2,1,1.2
11/05/2000,27.2,2,13.6
12/05/2000,5.4,2,2.7
13/05/2000,1.8,1,1.8
15/05/2000,6.6,1,6.6
17/05/2000,4.6,1,4.6
19/05/2000,1.6,1,1.6
22/05/2000,0.8,1,0.8
23/05/2000,3.4,1,3.4
24/05/2000,8.4,1,8.4
25/05/2000,0.4,2,0.2
27/05/2000,5.2,1,5.2
29/05/2000,5.6,1,5.6
30/05/2000,1,1,1
31/05/2000,0.2,1,0.2
01/06/2000,6.6,2,3.3
02/06/2000,0.2,1,0.2
04/06/2000,2.6,1,2.6
05/06/2000,0.2,1,0.2
06/06/2000,6.2,1,6.2
12/06/2000,3,1,3
14/06/2000,6.4,2,3.2
15/06/2000,2,2,1
17/06/2000,0.8,1,0.8
18/06/2000,0.2,1,0.2
19/06/2000,3,1,3
20/06/2000,0.4,1,0.4
21/06/2000,7,2,3.5
22/06/2000,0.2,1,0.2
23/06/2000,6.4,1,6.4
24/06/2000,0.2,1,0.2
25/06/2000,1.2,1,1.2
29/06/2000,1.6,1,1.6
03/07/2000,0.2,1,0.2
04/07/2000,15.4,2,7.7
05/07/2000,5.4,2,2.7
06/07/2000,2.8,2,1.4
08/07/2000,3.2,1,3.2
11/07/2000,4.2,1,4.2
13/07/2000,10.4,2,5.2
14/07/2000,2.4,1,2.4
16/07/2000,27.6,1,27.6
19/07/2000,1,1,1
20/07/2000,0.2,1,0.2
21/07/2000,0.2,1,0.2
22/07/2000,1,1,1
23/07/2000,26.8,1,26.8
24/07/2000,13.6,2,6.8
25/07/2000,1.8,1,1.8
26/07/2000,0.2,1,0.2
27/07/2000,0.4,2,0.2
30/07/2000,0.6,2,0.3
31/07/2000,67,1,67
01/08/2000,0.2,1,0.2
03/08/2000,0.2,1,0.2
04/08/2000,24.2,1,24.2
07/08/2000,32.2,1,32.2
09/08/2000,0.2,1,0.2
10/08/2000,13,1,13
11/08/2000,5.4,1,5.4
12/08/2000,0.6,2,0.3
13/08/2000,5.4,2,2.7
14/08/2000,0.2,1,0.2
16/08/2000,0.6,1,0.6
17/08/2000,1,2,0.5
18/08/2000,4.6,1,4.6
20/08/2000,0.4,1,0.4
21/08/2000,0.2,1,0.2
22/08/2000,6,1,6
26/08/2000,4,1,4
28/08/2000,0.2,1,0.2
29/08/2000,52.4,1,52.4
30/08/2000,0.2,1,0.2
06/09/2000,6.8,1,6.8
07/09/2000,9,2,4.5
08/09/2000,7.6,1,7.6
09/09/2000,23,1,23
10/09/2000,2,1,2
13/09/2000,21.4,2,10.7
14/09/2000,5.4,1,5.4
15/09/2000,0.4,1,0.4
16/09/2000,3.6,1,3.6
17/09/2000,5.2,1,5.2
18/09/2000,0.6,1,0.6
19/09/2000,36.8,1,36.8
22/09/2000,0.2,1,0.2
23/09/2000,28,1,28
24/09/2000,23.8,1,23.8
25/09/2000,8.8,1,8.8
26/09/2000,25.2,2,12.6
27/09/2000,62,2,31
28/09/2000,83.2,1,83.2
30/09/2000,0.2,1,0.2
01/10/2000,14.4,2,7.2
02/10/2000,0.4,2,0.2
03/10/2000,22.4,2,11.2
04/10/2000,38.6,2,19.3
05/10/2000,2.8,3,0.933333
06/10/2000,34.6,3,11.5333
07/10/2000,9.6,2,4.8
08/10/2000,3.2,2,1.6
09/10/2000,18,2,9
10/10/2000,3,1,3
11/10/2000,0.8,1,0.8
12/10/2000,12.2,2,6.1
14/10/2000,4,1,4
15/10/2000,0.2,1,0.2
16/10/2000,0.8,1,0.8
