station,Longitude,Latitude,in itemset
A042,-48.1311111,-15.59972221,0
A046,-48.13749999,-15.93527777,0
A047,-47.5575,-16.01111111,0
A056,-47.62583332,-16.39944444,0
A029,-49.91472222,-17.33694444,0
A028,-51.14805555,-16.42305554,0
A005,-49.19833333,-13.51444444,0
A031,-50.34166666,-12.81972221,0
A756,-52.87555554,-20.44444444,0
S701,-53.76361111,-22.14805555,0
S702,-55.6261111,-22.955,0
S703,-54.3686111,-19.94555555,0
A759,-52.47055554,-21.75138888,0
A757,-56.53999999,-22.10083333,0
S704,-56.45055555,-21.24666666,0
S705,-52.06888888,-21.29833333,0
S706,-54.81944443,-22.65694444,0
S707,-54.02999999,-19.58749999,0
A724,-57.63749999,-18.99666666,0
A760,-53.26722221,-18.82277777,0
S708,-54.32583332,-22.30861111,0
S709,-54.57027777,-23.64444444,0
S710,-54.79888888,-22.09277777,0
A758,-56.13694444,-21.47833332,0
S711,-55.16027777,-22.57527777,0
S712,-54.34194444,-21.45111111,0
S713,-53.46583333,-22.0786111,0
A710,-51.18138888,-19.69527777,0
S714,-54.54888888,-18.07277777,0
A723,-57.88666666,-21.70583333,0
S715,-53.76305555,-20.46666666,0
S716,-52.82027777,-21.30583333,0
S717,-51.43027777,-20.35138888,0
A761,-54.45361111,-17.89638888,0
A941,-57.69277777,-16.07444443,0
A935,-57.38166666,-15.54638888,0
A923,-54.3811111,-15.57999999,0
A944,-56.44194444,-14.82888888,0
A942,-52.37249999,-10.48416666,0
A911,-59.45111111,-10.16583333,0
A943,-51.4261111,-11.98777777,0
A108,-72.405,-7.61055555,0
A137,-72.78666666,-8.95,0
A136,-72.74777777,-8.26694443,0
S103,-60.05555555,-3.02249999,0
S105,-69.93499999,-4.25055555,0
S117,-64.72305554,-3.37722221,0
A109,-69.86694443,-6.65027777,0
A133,-61.29194444,-5.81055555,0
A144,-60.38055554,-8.0911111,0
S116,-71.61749999,-4.52999999,0
S102,-69.69527777,-2.93055554,0
S115,-69.19194444,0.59944444,0
S121,-65.01749999,-0.41444444,0
A251,-50.8236111,0.56777777,0
A249,-51.0886111,0.03527777,0
A244,-51.40416666,0.69444444,0
A253,-52.39472221,-3.27027777,0
A228,-50.47805554,-1.68027777,0
S107,-47.55,-4.28999999,0
S120,-57.77499999,-6.23722221,0
A246,-55.78722221,-6.31972221,0
A239,-54.07583332,-2.0,0
A232,-49.12527777,-5.36583333,0
A245,-52.11166666,-1.82194443,0
